ID,Aktivität,Teil,n,Bezeichnung,Gruppe
628,Endprüfung,UV-161105545,1,"Gerät fertig montiert, geprüft Tankelektrode 15-50 K Laika 1",
629,Endprüfung,UV-161205545,1,"Gerät fertig montiert, geprüft Tankelektrode 15-50 K Laika 2",
630,Endprüfung,UV-161405545,1,"Gerät fertig montiert, geprüft Tankelektrode 15-50 K Laika 4",
631,Endprüfung,UV-5744,1,"Gerät fertig montiert, geprüft VPC Merkur",
632,Endprüfung,UV-5831,1,"Gerät fertig montiert, geprüft VZE Triton",
633,Endprüfung,UV-696021,1,"Gerät fertig montiert, geprüft Duo-Akku-Tester S 24V (WAS und Rheinland)",
634,Endprüfung,UV-720362,1,"Gerät fertig montiert, geprüft Wechselrichter 3PhW-24ALU (Wöhr)",
635,Endprüfung,UV-9226,1,"Gerät fertig montiert, geprüft RWS Digital plus",
636,Endprüfung (alle Rel,UV-3084,4,"Gerät fertig montiert, geprüft Battery Protector 300",
637,Endprüfung / Abgleic,UV-5543,42,"Gerät fertig montiert, geprüft Tankelektrode 12-24 K",
638,Endprüfung / Abgleic,UV-139505545,31,"Gerät fertig montiert, geprüft Tankelektrode 15-50 K T7 (Rotovia)",
639,Endprüfung / Abgleic,UV-5551,22,"Gerät fertig montiert, geprüft Tankelektrode 30-110 K-FL",
640,Endprüfung / Abgleic,UV-057405545,11,"Gerät fertig montiert, geprüft Tankelektrode 95 K-FL (Kärcher)",
641,Endprüfung / Abgleic,UV-5530,11,"Gerät fertig montiert, geprüft Tanksensor FL",
642,Endprüfung / Abgleic,UV-139405545,8,"Gerät fertig montiert, geprüft Grauwasser Tankelektrode (Promens)",
643,Endprüfung / Abgleic,UV-139305545,6,"Gerät fertig montiert, geprüft Frischwasser Tankelektrode (Promens)",
644,Endprüfung / Abgleic,UV-5555,5,"Gerät fertig montiert, geprüft Tankelektrode 20 K-WC",
645,Endprüfung / Abgleic,UV-125105543,4,"Gerät fertig montiert, geprüft Tankelektrode 12-24 K (Kabe)",
646,Endprüfung / Abgleic,UV-125205545,2,"Gerät fertig montiert, geprüft Tankelektrode 15-50 K (Kabe)",
647,Endprüfung / Abgleic,UV-161105543,1,"Gerät fertig montiert, geprüft Tankelektrode 12-24 K Laika 5",
648,Endprüfung 5% Stichp,UV-055203078,20,"Gerät fertig montiert, geprüft Battery Protector 100 (VW)",
649,Endprüfung 5% Stichp,UV-055103078,12,"Gerät fertig montiert, geprüft Battery Protector 100 (VW)",
650,Endprüfung 5% Stichp,UV-3078,8,"Gerät fertig montiert, geprüft Battery Protector 100",
651,Endprüfung 5% Stichp,UV-055303078,1,"Gerät fertig montiert, geprüft Battery Protector 100 (10,6 V => 11,00 V) (VW)",
652,Endprüfung FireCan-B,PA-0498c-2,7,"Gerät fertig mont., Fc geprüft VAC 2440 Fc 2A FireCan",
653,Endprüfung FireCan-B,PA-0496c-2,2,Gerät geprüft mit Firecan VAC 2425 Fc 2A,
654,Endprüfung Stichprob,UV-3066,16,"Gerät fertig montiert, geprüft D+ Simulator",
655,Endprüfung und Abgle,PA-0256,15,Gerät geprüft Tanksensor FW 120,
656,Endprüfung und Abgle,PA-0258,11,Gerät geprüft Tanksensor FW 240,
657,Endprüfung und Abgle,PA-0467-00226,6,Gerät geprüft VAC 2440 M 2A,
658,Endprüfung und Störs,UV-3124,28,"Gerät fertig montiert, geprüft Pb 1240 SMT 3B",
659,Endprüfung und Störs,UV-0430,27,"Gerät fertig montiert, geprüft VAC 1260 M 3A",
660,Endprüfung und Störs,UV-0463,25,"Gerät fertig montiert, geprüft VAC 1215 F 2A m Meldeausgang",
661,Endprüfung und Störs,UV-3101,23,"Gerät fertig montiert, geprüft Pb 1220 SMT 2B",
662,Endprüfung und Störs,UV-3242,21,"Gerät fertig montiert, geprüft VBCS 30-20-250 Triple CI",
663,Endprüfung und Störs,UV-670628T,21,"Gerät fertig montiert, geprüft VAC 1215/30 Duo (Wietmarscher)",
664,Endprüfung und Störs,UV-0664,20,"Gerät fertig montiert, geprüft VAC 45-10/25 Triple CI",
665,Endprüfung und Störs,UV-0406,18,"Gerät fertig montiert, geprüft VAC 1220 M 3A",
666,Endprüfung und Störs,UV-0483,18,"Gerät fertig montiert, geprüft VAC 1215 F 2A II m Meldeausgang",
667,Endprüfung und Störs,UV-3246,18,"Gerät fertig montiert, geprüft VBCS 60-40-430 Triple CI",
668,Endprüfung und Störs,UV-0496,17,"Gerät fertig montiert, geprüft VAC 2425 F 3A",
669,Endprüfung und Störs,UV-0464,16,"Gerät fertig montiert, geprüft VAC 1230 F 2A m Meldeausgang",
670,Endprüfung und Störs,UV-0524,16,"Gerät fertig montiert, geprüft VAC 1224-16 Station mit SK m Meldeausgang",
671,Endprüfung und Störs,UV-0625,15,"Gerät fertig montiert, geprüft VAC 1215/15 Duo",
672,Endprüfung und Störs,UV-3114,15,"Gerät fertig montiert, geprüft Pb 1230 SMT 2B",
673,Endprüfung und Störs,UV-3100,14,"Gerät fertig montiert, geprüft Pb 1215 SMT 2B",
674,Endprüfung und Störs,UV-0498,13,"Gerät fertig montiert, geprüft VAC 2440 F 2A",
675,Endprüfung und Störs,UV-0534,13,"Gerät fertig montiert, geprüft VAC 1224-16 Station m Meldeausgang",
676,Endprüfung und Störs,UV-0626,13,"Gerät fertig montiert, geprüft VAC 1215/15 Duo ohne NS",
677,Endprüfung und Störs,UV-3126,13,"Gerät fertig montiert, geprüft Pb 1260 SMT 3B",
678,Endprüfung und Störs,UV-3289,13,"Gerät fertig montiert, geprüft Pb 1280 SMT Li",
679,Endprüfung und Störs,UV-3244,12,"Gerät fertig montiert, geprüft VBCS 45-30-350 Triple CI",
680,Endprüfung und Störs,UV-670634T,11,"Gerät fertig montiert, geprüft VAC 1230/30 Duo (T) (Wietmarscher)",
681,Endprüfung und Störs,UV-0404,10,"Gerät fertig montiert, geprüft VAC 1215 M 3A",
682,Endprüfung und Störs,UV-0410,10,"Gerät fertig montiert, geprüft VAC 1230 M 3A",
683,Endprüfung und Störs,UV-0459,10,"Gerät fertig montiert, geprüft VAC 2425 M 3A",
684,Endprüfung und Störs,UV-3102,10,"Gerät fertig montiert, geprüft Pb 1225 SMT 2B",
685,Endprüfung und Störs,UV-0484,9,"Gerät fertig montiert, geprüft VAC 1230 F 2A II m Meldeausgang",
686,Endprüfung und Störs,UV-0631,9,"Gerät fertig montiert, geprüft VAC 1220/30 Duo ohne NS",
687,Endprüfung und Störs,UV-0648,9,"Gerät fertig montiert, geprüft VAC 1225/50 Duo ohne NS",
688,Endprüfung und Störs,UV-067103100T,9,"Gerät fertig montiert, geprüft Pb 1215 SMT 2B (T) (Wietmarscher)",
689,Endprüfung und Störs,UV-3125,9,"Gerät fertig montiert, geprüft Pb 1250 SMT 3B",
690,Endprüfung und Störs,UV-067200659,8,"Gerät fertig montiert, geprüft VAC 1220/40 Duo Li (Wietmarscher)",
691,Endprüfung und Störs,UV-125103272,8,"Gerät fertig montiert, geprüft VBCS 60-40-430 HV CI Kabe",
692,Endprüfung und Störs,UV-0482,7,"Gerät fertig montiert, geprüft VAC 1250 F 3A",
693,Endprüfung und Störs,UV-0498c,7,"Gerät fertig montiert, geprüft VAC 2440 Fc 2A",
694,Endprüfung und Störs,UV-0628,7,"Gerät fertig montiert, geprüft VAC 1215/30 Duo",
695,Endprüfung und Störs,UV-0467,6,"Gerät fertig montiert, geprüft VAC 2440 M 2A",
696,Endprüfung und Störs,UV-0487,6,"Gerät fertig montiert, geprüft VAC 1280 F 2A",
697,Endprüfung und Störs,UV-3131,6,"Gerät fertig montiert, geprüft Pb 1280 SMT 2B",
698,Endprüfung und Störs,UV-024100465,5,"Gerät fertig montiert, geprüft VAC 2416 F 2A m Meldeausgang",
699,Endprüfung und Störs,UV-0408,5,"Gerät fertig montiert, geprüft VAC 1225 M 3A",
700,Endprüfung und Störs,UV-3271,5,"Gerät fertig montiert, geprüft VBCS 45-30-600 Triple HV CI",
701,Endprüfung und Störs,UV-6232,5,"Gerät fertig montiert, geprüft Pb 2416 SMT 2b",
702,Endprüfung und Störs,UV-6250,5,"Gerät fertig montiert, geprüft Pb 2440 SMT 2B",
703,Endprüfung und Störs,UV-0427,4,"Gerät fertig montiert, geprüft VAC 1250 M 3A",
704,Endprüfung und Störs,UV-0485,4,"Gerät fertig montiert, geprüft VAC 2416 F 2A II m Meldeausgang",
705,Endprüfung und Störs,UV-0523,4,"Gerät fertig montiert, geprüft VAC 1224-16 Station mit SK",
706,Endprüfung und Störs,UV-0533,4,"Gerät fertig montiert, geprüft VAC 1224-16 Station",
707,Endprüfung und Störs,UV-0632,4,"Gerät fertig montiert, geprüft VAC 1220/30 Duo",
708,Endprüfung und Störs,UV-0633,4,"Gerät fertig montiert, geprüft VAC 1220/40 Duo",
709,Endprüfung und Störs,UV-0666,4,"Gerät fertig montiert, geprüft VAC 60-15/30 Triple CI",
710,Endprüfung und Störs,UV-087100485,4,"Gerät fertig montiert, geprüft VAC 2416 F 2A II m Meldeausgang ohne Netzkabel",
711,Endprüfung und Störs,UV-3270,4,"Gerät fertig montiert, geprüft VBCS 30-20-400 Triple HV CI",
712,Endprüfung und Störs,UV-0413,3,"Gerät fertig montiert, geprüft VAC 1240 M 3A",
713,Endprüfung und Störs,UV-0452,3,"Gerät fertig montiert, geprüft VAC 2416 M 3A",
714,Endprüfung und Störs,UV-0465,3,"Gerät fertig montiert, geprüft VAC 2416 F 2A m Meldeausgang",
715,Endprüfung und Störs,UV-0471,3,"Gerät fertig montiert, geprüft VAC 1215 F 3A II",
716,Endprüfung und Störs,UV-0627,3,"Gerät fertig montiert, geprüft VAC 1215/30 Duo ohne NS",
717,Endprüfung und Störs,UV-067100659,3,"Gerät fertig montiert, geprüft VAC 1220/40 Duo (115V) Li (Wietmarscher)",
718,Endprüfung und Störs,UV-099103101,3,"Gerät fertig montiert, geprüft Pb 1220 SMT 2B (Audi)",
719,Endprüfung und Störs,UV-3272,3,"Gerät fertig montiert, geprüft VBCS 60-40-800 Triple HV CI",
720,Endprüfung und Störs,UV-6239,3,"Gerät fertig montiert, geprüft Pb 2425 SMT 3B",
721,Endprüfung und Störs,UV-670627T,3,"Gerät fertig montiert, geprüft VAC 1215/30 Duo (115V) (T) (Wietmarscher)",
722,Endprüfung und Störs,UV-017203098,2,"Gerät fertig montiert, geprüft MT BCB 40-40 CI (Mobile Technology)",
723,Endprüfung und Störs,UV-0462,2,"Gerät fertig montiert, geprüft VAC 2430 M 3A / 110VAC",
724,Endprüfung und Störs,UV-0470,2,"Gerät fertig montiert, geprüft VAC 1215 F 3A",
725,Endprüfung und Störs,UV-0477,2,"Gerät fertig montiert, geprüft VAC 1230 F 3A II",
726,Endprüfung und Störs,UV-0495,2,"Gerät fertig montiert, geprüft VAC 2416 F 3A II",
727,Endprüfung und Störs,UV-0496c,2,"Gerät fertig montiert, geprüft VAC 2425 Fc 2A",
728,Endprüfung und Störs,UV-0528,2,"Gerät fertig montiert, geprüft VAC 1215 Station mit SK",
729,Endprüfung und Störs,UV-0634,2,"Gerät fertig montiert, geprüft VAC 1220/40 Duo ohne NS",
730,Endprüfung und Störs,UV-0636,2,"Gerät fertig montiert, geprüft VAC 1215/40 Duo ohne NS",
731,Endprüfung und Störs,UV-0642,2,"Gerät fertig montiert, geprüft VAC 1230/30 Duo ohne NS",
732,Endprüfung und Störs,UV-067300659,2,"Gerät fertig montiert, geprüft VAC 1220/40 Duo 115VLi (Wietmarscher)",
733,Endprüfung und Störs,UV-087100477,2,"Gerät fertig montiert, geprüft VAC 1230 F 3A II (Baumeister&Trabant)",
734,Endprüfung und Störs,UV-087100484,2,"Gerät fertig montiert, geprüft VAC 1230 F 2A II m Meldeausgang (Baumeister&Trabant)",
735,Endprüfung und Störs,UV-024100494,1,"Gerät fertig montiert, geprüft VAC 2416 F 3A (Ziegler)",
736,Endprüfung und Störs,UV-0439,1,"Gerät fertig montiert, geprüft VAC 1280 M 2A",
737,Endprüfung und Störs,UV-0476,1,"Gerät fertig montiert, geprüft VAC 1230 F 3A",
738,Endprüfung und Störs,UV-0538,1,"Gerät fertig montiert, geprüft VAC 1215 Station mit ÖK",
739,Endprüfung und Störs,UV-0544,1,"Gerät fertig montiert, geprüft VAC 2416 Station mit SK",
740,Endprüfung und Störs,UV-0548,1,"Gerät fertig montiert, geprüft VAC 2416 Station mit ÖK",
741,Endprüfung und Störs,UV-067100654,1,"Gerät fertig montiert, geprüft VAC 1215/30 Duo (115V) Li (Wietmarscher)",
742,"Endprüfung, Typensch",UV-0242,13,"Gerät fertig montiert, geprüft LED-Tank-Display HE 010",
743,"Endprüfung, Typensch",UV-102300242,8,"Gerät fertig montiert, geprüft LED-Tank-Display HE 010 (Schlingmann)",
744,"Endprüfung, Typensch",UV-0244,6,"Gerät fertig montiert, geprüft LED-Tank-Display HE 420",
745,"Endprüfung, Typensch",UV-044100247,5,"Gerät fertig montiert, geprüft LED-Tank-Display HE 010 neutr Abgleich 0-5,0V; LED 10% an (Fischer)",
746,"Endprüfung, Typensch",UV-150100242,3,"Gerät fertig montiert, geprüft LED-Tank-Display HE 010 (Müller)",
747,Endprüfung/Abgleich,UV-5783,29,"Gerät fertig montiert, geprüft Smart-Shunt 200 A",
748,Endprüfung/Abgleich,UV-5793,24,"Gerät fertig montiert, geprüft Smart-Shunt 400 A",
749,Endprüfung/Abgleich,PA-0625-00185,15,Gerät geprüft VAC 1215/15 Duo,
750,Endprüfung/Abgleich,PA-0498-00221,13,Gerät geprüft VAC 2440 F 2A,
751,Endprüfung/Abgleich,PA-3289-00321,12,Gerät geprüft Pb 1280 SMT Li,
752,Endprüfung/Abgleich,PA-0498c-00225,7,Gerät geprüft VAC 2440 Fc 2A FireCan,
753,Endprüfung/Abgleich,PA-0628-00187,7,Gerät geprüft VAC 1215/30 Duo,
754,Endprüfung/Abgleich,PA-0487-00183,6,Gerät geprüft VAC 1280 F 2A,
755,Endprüfung/Abgleich,PA-3131-00322,6,Gerät geprüft Pb 1280 SMT 2B,
756,Endprüfung/Abgleich,UV-5806,4,"Gerät fertig montiert, geprüft SmartShunt-CI 400A",
757,Endprüfung/Abgleich,UV-5773,3,"Gerät fertig montiert, geprüft Smart-Shunt 100 A",
758,Endprüfung/Abgleich,UV-5804,3,"Gerät fertig montiert, geprüft SmartShunt-CI 100A",
759,Endprüfung/Abgleich,UV-5805,3,"Gerät fertig montiert, geprüft SmartShunt-CI 200A",
760,Endprüfung/Abgleich,UV-017105783,1,"Gerät fertig montiert, geprüft MT Smart-Shunt 200 A (Mobile Technology)",
761,Endprüfung/Abgleich,UV-5812,1,"Gerät fertig montiert, geprüft SmartShunt-CI 200A",
762,"Endprüfung/Abgleich,",PA-670628T-00132,21,Gerät geprüft VAC 1215/30 Duo (Wietmarscher),
763,"Endprüfung/Abgleich,",PA-670634T-00134,11,Gerät geprüft VAC 1230/30 Duo (T) (Wietmarscher),
764,"Endprüfung/Abgleich,",PA-067200659-00633,8,Gerät geprüft VAC 1220/40 Duo Li (Wietmarscher),
765,"Endprüfung/Abgleich,",PA-067100659-00630,3,Gerät geprüft VAC 1220/40 Duo (115V) Li (Wietmarscher),
766,"Endprüfung/Abgleich,",PA-670627T-00131,3,Gerät geprüft VAC 1215/30 Duo (115V) (T) (Wietmarscher),
767,"Endprüfung/Abgleich,",PA-067300659-00681,2,Gerät geprüft VAC 1220/40 Duo (115V) Li (Wietmarscher),
768,"Endprüfung/Abgleich,",PA-067100654-00628,1,Gerät geprüft VAC 1215/30 Duo (115V) Li (Wietmarscher),
769,Endprüfung/Endmontag,UV-092100242,4,"Gerät fertig montiert, geprüft LED-Tank-Display HE 010 (Cold Cut)",
770,Endprüfung\Abgleich,PA-0631-00191,9,Gerät geprüft VAC 1220/30 Duo ohne NS,
771,Endprüfung\Abgleich,PA-0648-00618,9,Gerät geprüft VAC 1225/50 Duo ohne NS,
772,Endprüfung\Abgleich,PA-6250-00336,5,Gerät geprüft Pb 2440 SMT 2B,
773,Endprüfung\Abgleich,PA-0632-00192,4,Gerät geprüft VAC 1220/30 Duo,
774,Endprüfung\Abgleich,PA-0633-00194,4,Gerät geprüft VAC 1220/40 Duo,
775,Endprüfung\Abgleich,PA-0462-00220,2,Gerät geprüft VAC 2430 M 3A / 110VAC,
776,Endprüfung\Abgleich,PA-0634-00193,2,Gerät geprüft VAC 1220/40 Duo ohne NS,
777,Endprüfung\Abgleich,PA-0636-00188,2,Gerät geprüft VAC 1215/40 Duo ohne NS,
778,Endprüfung\Abgleich,PA-0642-00195,2,Gerät geprüft VAC 1230/30 Duo ohne NS,
779,Endprüfung\Abgleich,PA-0439-00182,1,Gerät geprüft VAC 1280 M 2A,
780,"Endprüfung\Abgleich,",PA-0626-00184,13,Gerät geprüft VAC 1215/15 Duo ohne NS,
781,"Endprüfung\Abgleich,",PA-0627-00186,3,Gerät geprüft VAC 1215/30 Duo ohne NS,
782,Fertigmontage,MA-670628T,21,Gerät fertig montiert VAC 1215/30 Duo (Wietmarscher),
783,Fertigmontage,MA-0625,15,Gerät fertig montiert VAC 1215/15 Duo,
784,Fertigmontage,MA-0498,13,Gerät fertig montiert VAC 2440 F 2A,
785,Fertigmontage,MA-0626,13,Gerät fertig montiert VAC 1215/15 Duo ohne NS,
786,Fertigmontage,MA-3289,12,Gerät fertig montiert Pb 1280 SMT Li,
787,Fertigmontage,MA-670634T,11,Gerät fertig montiert VAC 1230/30 Duo (T) (Wietmarscher),
788,Fertigmontage,MA-0631,9,Gerät fertig montiert VAC 1220/30 Duo ohne NS,
789,Fertigmontage,MA-0648,9,Gerät fertig montiert VAC 1225/50 Duo ohne NS,
790,Fertigmontage,MA-067200659,8,Gerät fertig montiert VAC 1220/40 Duo Li (Wietmarscher),
791,Fertigmontage,MA-0498c,7,Gerät fertig montiert VAC 2440 Fc 2A,
792,Fertigmontage,MA-0628,7,Gerät fertig montiert VAC 1215/30 Duo,
793,Fertigmontage,MA-0467,6,Gerät fertig montiert VAC 2440 M 2A,
794,Fertigmontage,MA-0487,6,Gerät fertig montiert VAC 1280 F 2A,
795,Fertigmontage,MA-3131,6,Gerät fertig montiert Pb 1280 SMT 2B,
796,Fertigmontage,MA-6250,5,Gerät fertig montiert Pb 2440 SMT 2B,
797,Fertigmontage,MA-0632,4,Gerät fertig montiert VAC 1220/30 Duo,
798,Fertigmontage,MA-0633,4,Gerät fertig montiert VAC 1220/40 Duo,
799,Fertigmontage,MA-0627,3,Gerät fertig montiert VAC 1215/30 Duo ohne NS,
800,Fertigmontage,MA-067100659,3,Gerät fertig montiert VAC 1220/40 Duo (115V) Li (Wietmarscher),
801,Fertigmontage,MA-670627T,3,Gerät fertig montiert VAC 1215/30 Duo (115V) (T) (Wietmarscher),
802,Fertigmontage,MA-0462,2,Gerät fertig montiert VAC 2430 M 3A / 110VAC,
803,Fertigmontage,MA-0634,2,Gerät fertig montiert VAC 1220/40 Duo ohne NS,
804,Fertigmontage,MA-0636,2,Gerät fertig montiert VAC 1215/40 Duo ohne NS,
805,Fertigmontage,MA-0642,2,Gerät fertig montiert VAC 1230/30 Duo ohne NS,
806,Fertigmontage,MA-067300659,2,Gerät fertig montiert VAC 1220/40 Duo115V Li (Wietmarscher),
807,Fertigmontage,MA-0439,1,Gerät fertig montiert VAC 1280 M 2A,
808,Fertigmontage,MA-067100654,1,Gerät fertig montiert VAC 1215/30 Duo (115V) Li (Wietmarscher),
809,FireCan-Board fertig,MA-VAK03b-01-01,2,Baugruppe montiert VAC 2425 Fc 2A FireCan-Board,
810,Geh.teil vormontier,MA-Tankgeber-33-06,44,"ES-Stab, Schlauch und Hülse montiert 485mm lang",
811,Geh.teil vormontier,MA-Tankgeber-33-03,27,"ES-Stab, Schlauch und Hülse montiert 245mm lang",
812,Geh.teil vormontier,MA-Tankgeber-33-09,27,"ES-Stab, Schlauch und Hülse montiert 335mm lang",
813,Geh.teil vormontier,MA-Tankgeber-33-04,8,"ES-Stab, Schlauch und Hülse montiert 267mm lang",
814,Geh.teil vormontier,MA-Tankgeber-33-10,8,"ES-Stab, Schlauch und Hülse montiert 750mm lang",
815,Geh.teil vormontier,MA-Tankgeber-33-02,6,"ES-Stab, Schlauch und Hülse montiert 238mm lang",
816,Geh.teil vormontier,MA-Tankgeber-33-07,4,"ES-Stab, Schlauch und Hülse montiert 499mm lang",
817,Geh.teil vormontier,MA-Tankgeber-33-08,2,"ES-Stab, Schlauch und Hülse montiert 545mm lang",
818,Geh.teil vormontier,MA-Tankgeber-33-14,2,"ES-Stab, Schlauch und Hülse montiert 705mm lang",
819,Geh.teil vormontier,MA-Tankgeber-33-11,1,"ES-Stab, Schlauch und Hülse montiert 174mm lang",
820,Geh.teil vormontier,MA-Tankgeber-33-12,1,"ES-Stab, Schlauch und Hülse montiert 565mm lang",
821,Geh.teil vormontier,MA-Tankgeber-33-13,1,"ES-Stab, Schlauch und Hülse montiert 358mm lang",
822,Gehäuse montieren un,MA-110746-01,4,Gehäuse montiert verkabelt RME Schaltbox Zubringerpumpe (GEP),
823,Gehäuse nach Aushärt,MA-Tankgeber-09-02,11,Gehäuse gebohrt und gesenkt Tanksensor FL,
824,Hauptplatine lackier,UV-110915,1,"Gerät fertig montiert, geprüft TEO (digital) (GEP)",
825,Hauptplatine mit ISO,PL-0664-00531,19,Baugruppe lackiert geprüft VAC 45-10/25 Triple CI,
826,Hauptplatine mit ISO,PL-0666-00611,3,Baugruppe lackiert geprüft VAC 60-15/30 Triple CI,
827,Hauptplatine mit ISO,PL-0664-00610,2,Baugruppe lackiert geprüft VAC 45-10/25 Triple CI,
828,Hauptplatine mit ISO,PL-0666-00532,1,Baugruppe lackiert geprüft VAC 60-15/30 Triple CI,
829,Hülse prägen,11-1399,28,"Edelstahlhülse beschriftet und 2x geprägt D=24,2 d=23,2 L=37 MZ-11-1399",
830,KK auf Platine mont.,BKK-VKH09e-C-K04,15,KK-Platine Wechselrichter SMI 600 Sinus NVS 12V,
831,KK auf Platine mont.,BKK-VKH09e-A-K01,5,KK-Platine Wechselrichter SMI 300 Sinus NVS 12V,
832,KK auf Platine mont.,BKK-VKH09e-C-K03,5,KK-Platine Wechselrichter SMI 600 Sinus 12V,
833,KK mit SIL bekleben,KK-S506-75-BA,13,Kühlkörper S506 75mm mit SIL ohne Schrauben,
834,KK vormontieren,KK-SK343-75-AA,97,Kühlkörper SK343 75mm mit Madenschrauben und SIL,
835,KK vormontieren,KK-S507-75-AA,48,Kühlkörper S507 75mm mit Madenschrauben und SIL,
836,KK vormontieren,KK-S507-75-AB,41,Kühlkörper S507 75mm mit Madenschrauben und SIL,
837,KK vormontieren,BKK-VKF05g-A-K02,37,KK-Platine Ladegeräte Lader 12V bis 60A,
838,KK vormontieren,KK-S507-75-AC,35,Kühlkörper S507 75mm mit Madenschrauben und SIL,
839,KK vormontieren,KK-S507-100-AA,33,Kühlkörper S507 100mm mit Madenschrauben und SIL,
840,KK vormontieren,BKK-VKF05g-B-K03,26,KK-Platine Ladegeräte Lader 24V bis 30A,
841,KK vormontieren,KK-S507-115-AA,24,Kühlkörper S507 115mm mit Madenschrauben und SIL,
842,KK vormontieren,BKK-VKF05h-A-K02,17,KK-Platine Ladegeräte Lader 12V bis 60A,
843,KK vormontieren,KK-S506-100-AA,9,Kühlkörper S506 100mm mit Madenschrauben und SIL,
844,KK vormontieren,BKK-VKF05h-B-K03,4,KK-Platine Ladegeräte Lader 24V bis 30A,
845,KK-S506-100-AA-001,KK-S506-100-AA-001,22,Kühlkörper S506 100mm bestückt mit Elektronik und Schrauben,
846,KK-S506-100-AA-002,KK-S506-100-AA-002,18,Kühlkörper S506 100mm bestückt mit Elektronik und Schrauben,
847,KK-S506-100-BA-003,KK-S506-100-BA-003,73,Kühlkörper S506 100mm bestückt mit Elektronik ohne Schrauben,
848,KK-S506-100-BA-004,KK-S506-100-BA-004,74,Kühlkörper S506 100mm bestückt mit Elektronik ohne Schrauben,
849,KK-S506-100-BA-005,KK-S506-100-BA-005,68,Kühlkörper S506 100mm bestückt mit Elektronik ohne Schrauben,
850,KK-S506-100-BA-006,KK-S506-100-BA-006,20,Kühlkörper S506 100mm bestückt mit Elektronik ohne Schrauben,
851,KK-S506-100-BA-007,KK-S506-100-BA-007,5,Kühlkörper S506 100mm bestückt mit Elektronik ohne Schrauben,
852,KK-S506-100-BA-008,KK-S506-100-BA-008,21,Kühlkörper S506 100mm bestückt mit Elektronik ohne Schrauben,
853,KK-S506-75-AA-001,KK-S506-75-AA-001,13,Kühlkörper S506 75mm bestückt mit Elektronik und Schrauben,
854,KK-S506-75-BA-002,KK-S506-75-BA-002,24,Kühlkörper S506 75mm bestückt mit Elektronik ohne Schrauben,
855,KK-S506-75-BA-003,KK-S506-75-BA-003,20,Kühlkörper S506 75mm bestückt mit Elektronik ohne Schrauben,
856,KK-S506-75-BB,KK-S506-75-BB,4,Kühlkörper S506 75mm mit SIL ohne Schrauben,
857,KK-S506-75-BB-004,KK-S506-75-BB-004,20,Kühlkörper S506 75mm bestückt mit Elektronik ohne Schrauben,
858,KK-S507-100-AA-001,KK-S507-100-AA-001,39,Kühlkörper S507 100mm bestückt mit Elektronik und Schrauben,
859,KK-S507-100-AA-002,KK-S507-100-AA-002,42,Kühlkörper S507 100mm bestückt mit Elektronik und Schrauben,
860,KK-S507-100-AA-003,KK-S507-100-AA-003,29,Kühlkörper S507 100mm bestückt mit Elektronik und Schrauben,
861,KK-S507-115-AA-001,KK-S507-115-AA-001,42,Kühlkörper S507 100mm bestückt mit Elektronik und Schrauben,
862,KK-S507-75-AA-001,KK-S507-75-AA-001,82,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
863,KK-S507-75-AA-006,KK-S507-75-AA-006,39,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
864,KK-S507-75-AA-007,KK-S507-75-AA-007,20,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
865,KK-S507-75-AB-002,KK-S507-75-AB-002,52,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
866,KK-S507-75-AB-003,KK-S507-75-AB-003,10,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
867,KK-S507-75-AB-004,KK-S507-75-AB-004,41,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
868,KK-S507-75-AB-005,KK-S507-75-AB-005,14,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
869,KK-S507-75-AC-008,KK-S507-75-AC-008,41,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
870,KK-S507-75-AC-009,KK-S507-75-AC-009,41,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
871,KK-S507-75-AC-010,KK-S507-75-AC-010,30,Kühlkörper S507 75mm bestückt mit Elektronik und Schrauben,
872,KK-SK343-75-AA-001,KK-SK343-75-AA-001,88,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
873,KK-SK343-75-AA-002,KK-SK343-75-AA-002,108,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
874,KK-SK343-75-AA-003,KK-SK343-75-AA-003,46,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
875,KK-SK343-75-AA-004,KK-SK343-75-AA-004,99,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
876,KK-SK343-75-AA-005,KK-SK343-75-AA-005,4,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
877,KK-SK343-75-AA-006,KK-SK343-75-AA-006,18,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
878,KK-SK343-75-AA-007,KK-SK343-75-AA-007,37,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
