Teil,TA,Bezeichnung,Aktivität,RMNr,rMenge,Sollte,IstteSek,Solltrsek,Isttrsek,Zustand,tges
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,53948,365,365,574,600,0.0,false,574.0
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,55044,500,500,1192,600,0.0,false,1192.0
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,58485,596,596,1091,600,0.0,false,1091.0
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,59697,1668,1668,1753,600,0.0,false,1753.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,51612,55,55,0,600,48.0,false,48.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,52033,45,45,0,600,18.0,false,18.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,52034,99,99,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,52305,40,40,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,53346,40,40,0,600,18.0,false,18.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,53575,56,56,0,600,48.0,false,48.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,54667,60,60,0,600,42.0,false,42.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,55066,12,12,0,600,60.0,false,60.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,55603,172,172,0,600,48.0,false,48.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,56290,16,16,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,56686,16,16,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,56815,32,32,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,57124,60,60,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,57417,32,32,0,600,18.0,false,18.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,58100,20,20,0,600,36.0,false,36.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,58102,24,24,0,600,18.0,false,18.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,58103,20,20,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,58349,40,40,0,600,30.0,false,30.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,59157,32,32,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,59737,100,100,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,59738,24,24,0,600,18.0,false,18.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,60180,44,44,0,600,156.0,false,156.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,60336,40,40,0,600,30.0,false,30.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,61051,16,16,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,61052,60,60,0,600,18.0,false,18.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,61625,40,40,0,600,600.0,false,600.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,62973,40,40,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,62974,64,64,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,63106,28,28,80,600,0.0,false,80.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,63392,60,60,24,600,0.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,63567,20,20,19,600,0.0,false,19.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,63952,100,100,19,600,0.0,false,19.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,64351,60,60,0,600,24.0,false,24.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,65477,60,60,0,600,12.0,false,12.0
